Nombre de la loción,Marca/Fabricante,Descripción del aroma,Ocasión Principal,Ocasión Secundaria,Categoría,Estación Recomendada,Momento del Día,Intensidad (1-10),Duración Estimada,Contenido (Mililitro),Precio de venta,Disponible,URL Imagen (Descargable)
212 VIP MEN,Carolina Herrera,aromatico-vodka,Uso general,Casual,HOMBRE,Todo el año,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
NAUTICA VOYAGE,Nautica,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LACOSTE BLANCA,Lacoste,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LACOSTE NEGRA,Lacoste,cítrico-dulce,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LACOSTE AZUL,Lacoste,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LACOSTE ROUGE,Lacoste,cítrico-amaderada,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ACQUA DI GIO,Giorgio Armani,cítrico-marino,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
TOY BOY,Moschino,dulce-amaderado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
PURE XS,Prada,dulce-amaderado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
SWISS ARMY,Swiss Army,cítrico-aromático,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CREED SANTAL,Creed,aromático-amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
MONT BLANC EMBLEM,Mont Blanc,aromático-acuático,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CLINIQUE HAPPY,Clinique,cítrico-marino,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
MILLION LUCKY,Paco Rabanne,dulce-amielado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
212 SEXY MEN,Carolina Herrera,vainillado-amaderado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LIGHT MEN,Dolce & Gabbana,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,125,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
OMBRE NOMADE,Louis Vuitton,amaderado-ámbar,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
INVICTUS AQUA,Paco Rabanne,marino-ámbar,Noche/Seducción,Citas/Elegante,HOMBRE,Primavera-Verano,Día,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
GIVENCHY EAU,Givenchy,Cítrico-fresco,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CARTIER DECLARATION,Cartier,Cítrico-amaderado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ETERNITY,Calvin Klein,cítrico-aromático,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CREED AVENTUS,Creed,Afrutado-dulce,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
JUST DIFFERENT,Calvin Klein,fresco-aromatico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CK ONE,Calvin Klein,Cítrico-amaderado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
212 AQUA MEN,Carolina Herrera,Calido-amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ROSES MUNK,Roses Munk,Cítrico-floral,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,125,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BVLGARI MAN,Bvlgari,cálido-amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
212 VIP BLACK RED,Carolina Herrera,cálido-aromático,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
THE ONE,Dolce & Gabbana,cálido-ámbar,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
360 RED FOR MEN,Perry Ellis,cítrico-fresco,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CREED IMPERIAL,Creed,marino-cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BVLGARI AQVA,Bvlgari,acuático-cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
INVICTUS VICTORY,Paco Rabanne,avainillado-ámbar,Noche/Seducción,Citas/Elegante,HOMBRE,Otoño-Invierno,Noche,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
ACQUA DI GIO PROFUMO,Giorgio Armani,aromático-marino,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
INVICTUS ONYX,Paco Rabanne,cítrico-amaderado,Noche/Seducción,Citas/Elegante,HOMBRE,Primavera-Verano,Día,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
360,Perry Ellis,aromático-amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
JEAN PAUL BE L'EAU,Jean Paul Gaultier,coco-dulce,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,125,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ROYAL AMBER,Genérico,dulce,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
AMBER ROUGE,Genérico,amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
OUD SAFFRON,Genérico,amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
STAWALKER,Genérico,amaderado-citrico,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
BLACK XS,Paco Rabanne,dulce,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
VALENTINO UOMO,Valentino,vainillado-lavanda,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
TOMMY MEN,Tommy Hilfiger,cítrico-amaderado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BLEU SEDUCTION,Antonio Banderas,cítrico-afrutado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ARSENAL,Arsenal,citrico amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
SANTAL 33,Le Labo,amaderado-talcado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
PHANTOM,Paco Rabanne,cítrico-vainilla,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
PHANTOM PARFUM,Paco Rabanne,aromático-vainillado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
BHARARA KING,Bharara,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
VELVET GOLD,Genérico,100 ML,Uso general,Casual,HOMBRE,Todo el año,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
ARABIANS TONKA,Genérico,dulce-vainillado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,125,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
POLO RED,Ralph Lauren,cítrico-afrutado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,125,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BOSS THE SCENT,Hugo Boss,cítrico-cuero,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
LAPIDUS,Ted Lapidus,amaderado-dulce,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ALHARAMAIN,Al Haramain,dulce-frutal,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ALHARAMAIN ROUGE,Al Haramain,ámbar,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BHARARA KING,Bharara,citrico aromatico,Uso general,Casual,HOMBRE,Todo el año,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LACOSTE GREEN,Lacoste,citrico aromatico,Uso general,Casual,HOMBRE,Todo el año,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
KHAMRAH,Lattafa,dulce-vainillado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
SCANDAL MEN,Jean Paul Gaultier,Caramelo-aromatico,Uso general,Casual,HOMBRE,Todo el año,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LACOSTE ESSENTIAL,Lacoste,cítrico-amaderado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,125,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
GOOD GIRL,Carolina Herrera,Dulce-avainillado,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,90,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
212 ROSE,Carolina Herrera,Dulce-floral,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,80,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
CAN CAN,Paris Hilton,frutal-dulce,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CHANCE CHANEL,Chanel,Cítrica,Elegante/Lujo,Formal/Eventos,MUJER,Todo el año,Día,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
FANTASTIC PINK,Genérico,dulce-vainillado,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,90,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
STARRY NIGHTS,Diesel,cítrico,Oficina/Trabajo,Deportivo/Casual,MUJER,Primavera-Verano,Día,4,3-5 horas,120,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
OLYMPEA,Paco Rabanne,vainillado-floral,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,80,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
PARIS HILTON,Paris Hilton,dulce-frutal,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
FANTASY,Britney Spears,dulce-frutal,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
RALPH,Ralph Lauren,floral-frutal,Casual/Día,Trabajo/Brunch,MUJER,Primavera-Verano,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
360 FEM,Perry Ellis,Dulce-fresco,Oficina/Trabajo,Deportivo/Casual,MUJER,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BRIGHT CRYSTAL,Versace,Floral-afrutado,Casual/Día,Trabajo/Brunch,MUJER,Primavera-Verano,Día,5,4-6 horas,90,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
YELLOW DIAMOND,Versace,cítrico-floral,Oficina/Trabajo,Deportivo/Casual,MUJER,Primavera-Verano,Día,4,3-5 horas,90,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
MISS DIOR,Dior,amaderado-afrutado,Elegante/Formal,Oficina,MUJER,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
OMNIA CRYSTALLINE,Bvlgari,cítrico,Oficina/Trabajo,Deportivo/Casual,MUJER,Primavera-Verano,Día,4,3-5 horas,65,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
OMNIA CORAL,Bvlgari,cítrico-floral,Oficina/Trabajo,Deportivo/Casual,MUJER,Primavera-Verano,Día,4,3-5 horas,65,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
CH FEM,Carolina Herrera,cítrico-frutal,Oficina/Trabajo,Deportivo/Casual,MUJER,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
COCO MADEMOISELLE,Chanel,amaderada,Uso general,Casual,MUJER,Todo el año,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
LA VIDA ES BELLA,Lancôme,dulce-amaderada,Citas/Romántico,Noche/Elegante,MUJER,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1541643600914-78b084683601?w=300&h=400&fit=crop
